AFFX-BioB-5_at AFFX-BioB-M_at AFFX-BioB-3_at AFFX-BioC-5_at AFFX-BioC-3_at AFFX-BioDn-5_at AFFX-BioDn-3_at AFFX-CreX-5_at AFFX-CreX-3_at AFFX-BioB-5_st AFFX-BioB-M_st AFFX-BioB-3_st AFFX-BioC-5_st AFFX-BioC-3_st AFFX-BioDn-5_st AFFX-BioDn-3_st AFFX-CreX-5_st AFFX-CreX-3_st hum_alu_at AFFX-DapX-5_at AFFX-DapX-M_at AFFX-DapX-3_at AFFX-LysX-5_at AFFX-LysX-M_at AFFX-LysX-3_at AFFX-PheX-5_at AFFX-PheX-M_at AFFX-PheX-3_at AFFX-ThrX-5_at AFFX-ThrX-M_at AFFX-ThrX-3_at AFFX-TrpnX-5_at AFFX-TrpnX-M_at AFFX-TrpnX-3_at AFFX-HUMISGF3A_M97935_5_at AFFX-HUMISGF3A_M97935_MA_at AFFX-HUMISGF3A_M97935_MB_at AFFX-HUMISGF3A_M97935_3_at AFFX-HUMRGE_M10098_5_at AFFX-HUMRGE_M10098_M_at AFFX-HUMRGE_M10098_3_at AFFX-HUMGAPDH_M33197_5_at AFFX-HUMGAPDH_M33197_M_at AFFX-HUMGAPDH_M33197_3_at AFFX-HSAC07_X00351_5_at AFFX-HSAC07_X00351_M_at AFFX-HSAC07_X00351_3_at AFFX-HUMTFRR_M11507_5_at AFFX-HUMTFRR_M11507_M_at AFFX-HUMTFRR_M11507_3_at AFFX-M27830_5_at AFFX-M27830_M_at AFFX-M27830_3_at AFFX-HSAC07_X00351_3_st AFFX-HUMGAPDH_M33197_5_st AFFX-HUMGAPDH_M33197_M_st AFFX-HUMGAPDH_M33197_3_st AFFX-HSAC07_X00351_5_st AFFX-HSAC07_X00351_M_st A28102_at AB000114_at AB000115_at AB000220_at AB000409_at AB000449_at AB000450_at AB000460_at AB000462_at AB000464_at AB000466_at AB000467_at AB000468_at AB000584_at AB000895_at AB000896_at AB000897_at AB000905_at AB001106_at AB001325_at AB002314_at AB002315_at AB002318_at AB002365_at AB002366_at AB002380_at AB002382_at AB002409_at AB002559_at AB003102_at AB003103_at AB003177_at AB003698_at AB004884_at AB006190_at AC000061_cds2_at AC000061_cds3_at AC000062_at AC000064_cds1_at AC000064_cds2_at AC000066_at CLASS 
-58 -54 -58 215 -159 -314 -662 -118 9 22 -197 -544 -91 -169 54 217 -89 -288 11888 44 79 -1 -2 -117 -36 -128 -94 -39 4 -41 -260 23 -466 -212 -231 -75 228 1007 1711 989 1253 18768 11829 15074 14365 16457 14275 334 12 273 2129 5089 871 1430 242 347 409 115 542 -101 68 251 364 254 216 170 2200 89 469 -472 -496 985 -14 133 -77 -46 113 1359 876 104 457 679 7 92 858 2536 -82 593 1390 870 809 440 1234 602 391 -106 10 1257 182 -34 0 
-101 -123 41 14 -353 -174 95 -185 26 86 -114 -577 -16 -55 37 -43 -34 -414 24775 -19 153 -88 -2 2 1 -68 -194 97 13 -113 -149 -29 -429 -186 -292 -173 25 237 -11 -438 52 9996 8943 16968 18493 23462 13793 98 -49 125 110 1258 76 1095 -162 259 153 147 686 207 -38 26 16 19 10 88 1465 -40 444 -605 -594 317 117 -467 38 114 122 207 1096 113 89 350 191 59 44 467 -94 804 208 229 494 111 592 255 276 -89 -43 304 207 46 0 
-403 -414 -274 179 -403 -786 -335 -503 450 -33 607 -1668 -629 16 271 86 -145 -400 45370 47 431 -190 -30 95 -19 -274 -397 -288 -226 -81 -470 -13 -901 -324 -293 69 89 702 -167 -495 -36 10879 9412 12253 27830 45913 33584 433 -58 137 657 3740 11 1898 -50 218 -5 -19 1215 324 81 327 531 8 50 526 4658 349 783 -1542 -2178 697 -22 -1075 -305 137 159 604 2077 -2 243 1136 251 145 677 1156 -481 1475 1374 579 369 201 1052 921 313 -229 -120 1019 324 190 0 
-92 -24 -37 147 -243 -144 852 -30 175 264 274 -570 -326 -109 -415 164 -75 -96 56228 96 -27 -137 171 -316 -30 -79 -316 61 -106 -243 -261 -79 -563 -247 -237 -285 58 96 116 3 130 10711 17158 25144 11144 18563 10206 333 82 -58 515 2982 -945 993 37 72 68 85 518 -13 72 41 106 -120 -82 305 1515 58 587 -422 -1316 -3 364 -415 -27 41 51 274 659 127 54 219 48 48 -54 948 -175 707 274 44 137 206 347 195 549 -79 -178 639 65 48 0 
56 -66 15 -13 -163 -277 576 -172 54 100 221 -649 -242 -127 266 224 -62 -125 24758 -154 28 -133 95 -216 -118 -42 -110 -175 -45 18 -468 -36 -777 -333 -438 -389 128 849 624 145 150 10643 9230 18039 12281 22667 20083 147 65 77 11377 14589 445 1652 142 353 426 406 700 244 3 236 194 -27 45 150 1793 -3 269 -953 -777 318 -81 -562 30 56 172 300 1539 110 233 398 109 77 392 1266 -110 647 732 307 277 175 694 462 329 -53 -12 263 37 162 0 
-492 -338 -300 260 -350 -587 -414 -296 41 335 -205 -471 -165 -248 415 411 16 -586 8806 -1088 -308 -99 -31 -145 -111 -254 -163 -81 -63 -80 -470 -21 -2828 -2385 -2612 -1948 159 605 872 307 474 10253 7448 13088 15104 18727 17680 219 65 128 645 1772 419 1359 -383 240 193 -435 568 158 -44 257 278 37 353 350 3507 127 1303 -752 -767 1851 -455 202 27 -50 87 1777 1765 102 726 2125 368 81 677 2272 -181 643 1909 578 1042 479 3986 960 485 -141 -1 1097 248 42 0 
31 -102 -17 161 -191 -253 72 -174 49 -11 -39 -390 -320 -118 95 119 -13 -131 11392 -69 157 -83 7 -76 -32 -35 -82 -22 -37 -26 -291 -25 -459 -186 -189 -43 184 1021 -103 -216 -289 15828 9821 12177 11523 13598 11972 152 -68 260 2048 4594 1020 361 152 270 162 -118 233 72 160 303 287 134 93 138 1724 90 585 -414 -275 443 34 -157 -8 -106 36 472 588 -16 262 894 171 278 382 1815 -136 430 936 440 433 262 1115 514 169 -72 -33 526 103 -31 0 
-197 -27 -34 152 -119 -262 430 -130 161 -47 -74 -297 -233 35 100 158 -76 -238 17992 -33 178 43 52 -40 87 -32 -101 -2 -10 -22 -147 -35 -360 -141 -115 -122 34 170 -144 -287 -187 14876 15077 16161 17027 22233 15607 113 14 115 109 1172 102 211 -71 48 19 -6 231 192 102 114 8 98 52 37 1371 -13 441 -472 -358 350 -10 -109 95 40 88 294 416 33 82 355 91 193 102 652 -11 377 416 236 223 53 442 293 112 56 -13 325 39 46 0 
-161 -84 -62 131 -326 -284 -29 -192 -63 8 91 -276 4 -152 -176 252 -152 -292 24413 -59 154 -80 -47 -77 99 -72 -142 2 -18 -49 -152 -6 -455 -372 -224 181 183 602 -97 -288 -188 15682 16378 16841 25578 32016 25441 308 91 284 23 662 241 558 -56 131 -13 -162 308 179 84 181 205 84 73 109 2080 65 331 -669 -305 1002 187 -330 169 238 173 1246 975 173 541 748 117 138 623 1063 -22 607 1259 471 377 316 1497 376 401 1 31 1056 215 167 0 
-5 -16 124 23 81 -217 -269 -39 108 215 18 -383 -246 76 -126 -130 170 -121 30540 -3 30 123 56 -59 -9 -74 -173 -123 -14 -14 -137 -38 -260 -248 -191 -258 39 197 -52 -262 -267 8657 10091 11371 14768 22531 13113 48 -63 -21 -106 -177 -650 262 -170 36 9 -30 74 164 114 99 114 -65 43 170 974 95 336 -135 132 400 304 128 202 228 239 213 874 161 224 135 -30 -61 191 568 7 689 436 220 246 119 199 463 394 39 68 202 99 -30 0 
-89 -28 97 96 -112 -249 27 -66 5 70 207 -423 -262 -41 99 145 -41 -56 15230 -56 81 -68 -22 -121 29 -114 -63 -38 12 -38 -210 -36 -437 -208 -158 -97 103 353 -85 -170 -28 14385 11419 15213 14265 18676 13073 79 -24 31 149 1538 334 494 8 228 160 101 110 275 33 141 47 24 -18 65 1743 -27 379 -647 -538 327 73 -548 -57 181 530 349 792 19 115 867 8 171 177 1496 -109 694 297 170 221 73 681 299 256 -71 -19 358 48 91 0 
-45 -36 38 107 -73 -206 165 -44 -1 34 -17 -214 -205 -73 -33 112 -31 -23 11662 -86 76 -24 12 -84 -63 -28 -54 30 -34 -62 -180 -1 -428 -294 -323 -274 54 315 3217 2199 4778 13261 12637 15314 16386 19054 15943 134 7 133 9930 9029 382 1117 90 308 286 266 628 182 48 107 65 85 20 20 1001 -21 278 -311 -204 246 -14 -222 -8 73 52 584 448 3 153 607 92 48 131 695 -21 150 585 122 360 100 626 439 174 32 -13 358 113 -29 0 
-101 -80 22 170 -95 -258 -494 -78 43 -136 -210 -505 -554 -253 -102 120 53 -175 17253 -41 159 -48 33 -46 59 -28 -32 78 3 -41 -275 -34 -536 -240 -272 -333 134 491 -103 -303 -398 12840 11579 15579 14310 18299 16158 171 44 93 139 642 358 501 -23 100 18 -114 425 111 23 111 2033 -63 484 135 2626 86 379 -580 -304 1312 -305 -76 -77 -43 83 1304 742 106 378 550 152 136 1263 1910 -107 365 1121 575 507 445 1480 656 469 -63 29 1123 178 75 0 
12 -91 218 374 -344 34 -1231 -229 136 -462 -530 -1235 -101 -289 905 775 -224 -721 25696 -94 64 -162 -53 -142 531 -330 -109 -231 -46 -61 -516 -116 -1513 -509 -613 -337 349 1025 586 1077 -224 20565 12041 20676 21310 25858 29145 399 113 497 1539 3632 1781 3343 -54 708 1656 693 1134 397 23 58 184 396 466 222 4674 131 1146 -751 -1572 2310 -887 388 -229 105 43 1607 932 116 924 1331 8 -2 3138 1401 -23 1144 2596 2131 645 961 5371 468 -251 -80 -35 954 200 -5 0 
-59 -85 49 366 -617 -425 548 -194 -52 234 39 -865 -432 -26 105 316 -49 -168 64585 141 340 59 33 6 254 -95 -363 -175 -178 -6 -442 -85 -660 -293 -386 -640 -62 808 29 -148 -79 10566 11933 13128 19527 27214 24886 267 -128 151 26 610 412 828 254 554 267 184 680 26 52 -175 23 19 -115 141 1532 -52 458 -1043 -1218 693 -52 -257 -112 270 175 128 280 59 148 -2383 234 3 254 752 -224 366 356 343 112 -33 508 544 33 -33 23 310 23 13 0 
